Role Matrix    Primary Role   Mid     Support   Top     Adc     Jungle   
Aatrox         Top            4.79    6.12      57.0    0.0     32.09    
Ahri           Mid            80.8    10.78     1.46    6.96    0.0      
Akali          Mid            50.91   8.3       35.38   0.0     5.42     
Alistar        Support        1.06    97.72     1.08    0.0     0.15     
Amumu          Jungle         4.34    1.08      9.21    0.0     85.37    
Anivia         Mid            78.21   13.84     2.86    5.09    0.0      
Annie          Mid            47.32   41.21     4.1     7.36    0.0      
Ashe           Adc            1.17    4.09      0.37    94.37   0.0      
Azir           Mid            76.98   12.83     9.0     0.0     1.19     
Bard           Support        12.83   73.75     0.95    12.47   0.0      
Blitzcrank     Support        4.56    87.79     0.04    7.62    0.0      
Brand          Mid            57.45   36.1      1.61    4.84    0.0      
Braum          Support        2.01    95.6      1.03    1.36    0.0      
Caitlyn        Adc            0.45    4.62      0.0     93.53   1.39     
Cassiopeia     Mid            72.56   7.12      18.2    2.11    0.0      
Cho'Gath       Top            28.38   2.68      52.02   0.0     16.92    
Corki          Adc            3.94    7.49      0.0     87.24   1.33     
Darius         Top            6.92    2.2       80.76   0.0     10.13    
Diana          Mid            69.84   5.0       9.83    0.0     15.33    
Dr.Mundo       Top            6.45    5.25      71.14   0.0     17.16    
Draven         Adc            1.31    8.35      0.0     89.05   1.29     
Elise          Jungle         5.63    7.19      10.21   0.0     76.97    
Evelynn        Jungle         5.39    0.0       9.82    2.12    82.67    
Ezreal         Adc            11.99   2.76      0.0     83.93   1.32     
Fiddlesticks   Jungle         7.07    9.0       0.25    0.0     83.68    
Fiora          Top            9.67    0.57      78.63   0.0     11.14    
Fizz           Jungle         23.21   0.95      26.79   0.0     49.04    
Galio          Mid            61.15   15.4      22.62   0.83    0.0      
Gangplank      Top            5.74    4.5       80.75   0.0     9.01     
Garen          Top            8.15    0.0       81.59   0.53    9.73     
Gnar           Top            6.33    0.0       84.16   0.42    9.09     
Gragas         Top            18.41   16.27     33.63   0.0     31.69    
Graves         Adc            0.55    7.68      0.0     90.19   1.57     
Hecarim        Top            6.9     0.0       48.41   4.56    40.13    
Heimerdinger   Mid            52.72   6.27      38.53   0.0     2.48     
Irelia         Top            6.95    0.0       79.99   4.4     8.65     
Janna          Support        3.93    89.65     0.0     4.58    1.84     
JarvanIV       Jungle         0.0     4.98      18.57   4.37    72.08    
Jax            Top            5.26    0.0       74.04   2.25    18.44    
Jayce          Top            33.7    1.37      63.03   1.89    0.0      
Jinx           Adc            2.55    6.39      0.0     90.42   0.64     
Kalista        Adc            2.22    11.04     0.0     84.48   2.26     
Karma          Support        23.78   66.48     6.61    3.14    0.0      
Karthus        Mid            83.59   5.35      10.21   0.0     0.85     
Kassadin       Mid            69.34   9.07      19.72   1.87    0.0      
Katarina       Mid            77.5    11.98     4.58    5.93    0.0      
Kayle          Mid            36.29   11.82     23.87   0.0     28.02    
Kennen         Top            31.71   0.0       64.14   1.26    2.88     
Kha'Zix        Jungle         0.18    0.0       11.24   2.38    86.21    
Kog'Maw        Adc            16.17   4.96      2.38    76.49   0.0      
LeBlanc        Mid            78.53   12.24     2.57    6.65    0.0      
LeeSin         Jungle         0.0     4.99      10.53   4.92    79.56    
Leona          Support        3.02    91.09     0.0     5.85    0.03     
Lissandra      Mid            51.67   3.54      43.36   1.43    0.0      
Lucian         Adc            1.6     6.06      0.0     90.77   1.58     
Lulu           Support        22.16   62.4      13.08   2.35    0.0      
Lux            Mid            73.31   19.96     0.0     6.09    0.63     
Malphite       Top            7.4     4.09      65.64   0.0     22.87    
Malzahar       Mid            81.38   8.74      2.97    6.91    0.0      
Maokai         Top            7.09    0.0       68.74   0.13    24.04    
MasterYi       Jungle         0.0     2.77      11.05   4.63    81.55    
MissFortune    Adc            1.82    4.91      0.3     92.97   0.0      
Mordekaiser    Mid            59.63   4.28      35.63   0.0     0.46     
Morgana        Support        17.94   75.91     0.85    5.3     0.0      
Nami           Support        2.46    92.3      0.0     3.09    2.15     
Nasus          Top            9.63    0.0       75.64   3.99    10.74    
Nautilus       Jungle         0.59    6.94      12.72   0.0     79.75    
Nidalee        Jungle         28.86   4.24      10.0    0.0     56.9     
Nocturne       Jungle         0.0     2.02      9.63    4.39    83.96    
Nunu           Jungle         2.31    12.61     14.15   0.0     70.94    
Olaf           Jungle         2.44    0.94      41.96   0.0     54.66    
Orianna        Mid            81.36   10.48     3.32    4.84    0.0      
Pantheon       Jungle         0.0     3.48      21.1    3.62    71.79    
Poppy          Top            2.51    5.26      56.77   0.0     35.46    
Quinn          Adc            10.18   2.08      36.56   51.19   0.0      
Rammus         Jungle         0.95    1.66      14.13   0.0     83.26    
Rek'Sai        Jungle         0.0     2.2       12.26   5.84    79.7     
Renekton       Top            8.04    0.0       78.21   4.17    9.59     
Rengar         Jungle         0.0     2.01      27.53   2.59    67.87    
Riven          Top            10.57   0.0       78.1    1.79    9.54     
Rumble         Top            16.69   1.45      73.61   0.0     8.24     
Ryze           Top            29.68   1.76      62.0    0.0     6.55     
Sejuani        Jungle         3.84    0.0       6.95    2.11    87.1     
Shaco          Jungle         0.0     4.03      6.92    4.57    84.48    
Shen           Top            4.67    3.29      78.94   0.0     13.11    
Shyvana        Jungle         5.36    0.0       34.55   2.23    57.86    
Singed         Top            11.51   0.0       75.36   4.3     8.83     
Sion           Top            4.92    1.16      77.17   0.0     16.75    
Sivir          Adc            2.3     5.56      0.0     90.66   1.48     
Skarner        Jungle         2.13    0.0       14.17   5.76    77.93    
Sona           Support        7.02    85.44     0.0     5.29    2.25     
Soraka         Support        2.61    91.17     0.0     4.96    1.27     
Swain          Mid            60.64   1.66      36.91   0.0     0.79     
Syndra         Mid            80.09   14.42     0.22    5.27    0.0      
Talon          Mid            75.91   9.28      10.14   4.66    0.0      
Taric          Support        4.68    86.83     2.59    5.9     0.0      
Teemo          Top            16.32   9.28      64.45   0.0     9.95     
Thresh         Support        3.77    88.72     0.0     6.03    1.48     
Tristana       Adc            0.0     4.73      0.39    94.35   0.54     
Trundle        Top            8.24    0.0       49.17   5.02    37.58    
Tryndamere     Top            5.73    0.0       78.51   0.88    14.87    
TwistedFate    Mid            85.04   10.68     0.0     3.62    0.66     
Twitch         Adc            0.0     1.66      1.14    93.6    3.6      
Udyr           Jungle         0.0     3.43      11.02   3.58    81.97    
Urgot          Top            4.59    0.0       60.55   31.43   3.43     
Varus          Adc            3.7     3.37      0.77    92.16   0.0      
Vayne          Adc            0.62    2.44      0.0     96.65   0.29     
Veigar         Mid            61.12   37.26     0.2     1.42    0.0      
Vel'Koz        Support        32.83   60.88     0.0     4.5     1.79     
Vi             Jungle         0.0     6.57      10.03   7.22    76.18    
Viktor         Mid            73.17   9.34      8.6     8.89    0.0      
Vladimir       Top            25.96   0.54      68.66   0.0     4.83     
Volibear       Jungle         0.0     0.81      30.47   1.55    67.17    
Warwick        Jungle         0.25    1.19      13.82   0.0     84.75    
Wukong         Jungle         0.69    0.33      40.21   0.0     58.76    
Xerath         Mid            82.45   12.29     0.82    4.44    0.0      
XinZhao        Jungle         0.0     0.83      15.98   1.3     81.89    
Yasuo          Mid            77.9    0.0       20.25   1.15    0.7      
Yorick         Top            6.71    0.9       78.44   0.0     13.96    
Zac            Jungle         9.28    0.0       29.12   3.87    57.73    
Zed            Mid            72.52   9.67      10.61   7.2     0.0      
Ziggs          Mid            79.86   12.93     1.76    5.46    0.0      
Zilean         Support        21.81   76.29     0.0     1.17    0.73     
Zyra           Support        19.72   77.26     0.0     1.83    1.19     
